Java Quiz;;;;
What is an assignment statement;Assigning a value to a variable;Adding a number to an int;Assigning a multiplication;Assigning a name to a variable
Java keywords are written in lowercase as well as uppercase;False;True;;
Which of the following is not a Java keyword?;Integer;static;try;new
An object could be ...;anything;an algorithm;a data container;a program
What is the correct syntax for java main method?;none of the above;public void main(Strirign args);public static void main(String[] args);public static void main
A UML Association is…;implemented as a Java attribute member;implemented as a Java method;implemented as a Java Class;
Object-Oriented Programming means ...;Designing the application based on the objects discovered when anal singthe problem;Being objective about what you develop;Writing an algorithm before writing your program and having a test plan;Writing a program composed ofJava classes
If you want your condition to depend upon two conditions BOTH being true, What is the proper notation to put between the two Boolean statements?;&&;!;||;
Choose the appropriate data type for this field: isSwimmer;boolean;double;string;int
Choose the appropriate data type for this value: 5.5;double;int;boolean;String
##;;;;
World History Quiz;;;;
What scandal forced U.S. President Richard Nixon to resign in 1974?;Watergate;Iran Contra;Lewinsky Scandal;Whitewater
The Cuban Revolution led to the rise of what dictator?;Fidel Castro;Che Guevara;Rafael Trujillo;Augusto Pinochet
Along with Hiroshima, Japan, which Japanese city was hit by an atomic bomb in 1945?;Nagasaki;Tokyo;Osaka;Nagoya
Who was the first female prime minister of Britain?;Margaret Thatcher;Florence Nightingale;Queen Elizabeth II;Jane Austen
Who assassinated Abraham Lincoln?;John Wilkes Booth;Lee Harvey Oswald;James Earl Ray;Leon Czolgosz
Adolf Hitler was the leader of which party?;Nazi Party;Communist Party;Republican Fascist Party;none of the above.
Which continent was devastated by the Black Death in the 1300s?;Europe;North America;South America;Africa
What charter was passed by King John of England in 1215?;Magna Carta;Mayflower Compact;Stamp Act;Quartering Act
What acquisition of territory by the United States from France happened in 1803?;Louisiana Purchase;Alaskan Purchase;the annexation of Texas;none of the above
Along with the United States, what other world power was a major player in the War of 1812?;Great Britain;Mexico;Japan;Italy
##;;;;
Test quiz;;;;
Question 1;Answer A;Answer B;Answer C;Answer D
Question 2;Answer A;Answer B;Answer C;Answer D
Question 3;Answer A;Answer B;Answer C;Answer D
Question 4;Answer A;Answer B;Answer C;Answer D
Question 5;Answer A;Answer B;Answer C;Answer D
Question 6;Answer A;Answer B;Answer C;Answer D
Question 7;Answer A;Answer B;Answer C;Answer D
Question 8;Answer A;Answer B;Answer C;Answer D
Question 9;Answer A;Answer B;Answer C;Answer D
Question 10;Answer A;Answer B;Answer C;Answer D
